text,true_label,predicted_label,ensemble_score
"The law stipulated 21 rights of the disabled persons . The disabled persons must get the national identity cards and be listed in the voters roll . Even they will be able to contest in the polls .",1,0,0.0256
"A few days ago aneight-year-old girl was sexually assaulted   and then thrown off the roof of her home in Karachi   resulting in her immediate death . Prior to that the ugly case of sexual crimes against young boys in Swat   Khyber Pakhtunkhwa   had made headlines . There was also a report of a rape that took place in an ICU ward in a hospital in Islamabad . The victim of that attack was a disabled patient ; monsters are out on streets looking for opportunities to fulfill their cardinal needs . Behind the beard and the shalwars of Pakistan are sexually frustrated beings whose dark side has been in the pressure cooker for far too long   and has now erupted   unleashing its terror on innocent souls .",0,1,0.7545
"Speaking to Africa Review   he also pointed out that majority of these children come from very poor families with no permanent level of income since most of their parents are casual labourers who earn peanuts .",1,0,0.0258
"On the very first day Mannan took over   no one knew this restaurant would offer free food   so he went outside in a park and gather all the homeless people that he could find and brought them to his restaurant .",0,1,0.9484
"" He joked to us that he was going to be the most famous disabled man in Africa   and now he 's on stage around the world and he has made that dream come true .",0,1,0.4932
"The program also included the presentation of a short documentary of the work that the LIV organisation is doing through its various business enterprises to meet the needs of those at the Village left orphaned and vulnerable by the AIDS epidemic .",0,1,0.6995
"He said the onus was on the Muhammadu Buhari administration to end the poverty   unemployment   fear   insecurity   anxiety and hopelessness in the land .",0,1,0.9431
"The measures have kept the migrants living in limbo . The overwhelming majority have not been granted asylum and they lead a tenuous existence   often at the whims of the government .",1,0,0.2948
"In the first visit by a UK Minister to South Sudan this year   Minister Wharton saw the life-changing impact of UK aid in Juba and Malakal . The Minister spent a day visiting the Protection of Civilian ( PoC ) site in Malakal where he met people who have been displaced from their homes . He witnessed the desperate humanitarian situation with more than 60% of the population -- 7.5 million people -- expected to be in need of food and facing potential famine as the worst food crisis since independence in 2011 caused by prolonged conflict and drought threatens lives and risks destabilising the region .",0,1,0.5801
"At the Kashmere Gate ISBT   another team of former defence personnel was greeted with a salute of ' Jai Hind saab ' by a homeless man .",0,1,0.8309
"SINCE opening its doors to Syrians fleeing war   Sweden has welcomed record numbers of refugees and a small but growing group are taking fast-tracks to jobs   bucking unemployment trends .",1,0,0.0279
"The rehabilitation of the health center is underway   but at huge cost to the community because of absence of an alternative for residents in need of healthcare . Thus   members of the community are condemned to continue to use the health care center even as it is under rehabilitation . But now   they are receiving treatments for their various ailments not inside the wards   but in the open compound of the facility . Patients lay on mattresses or mats under a tree within the unfenced compound of the health centre to receive treatments .",1,0,0.1226
"Thus   the education -- labour market connection is characterised by a vicious circle whereby poor children obtain poor quality education   which in turn limits their participation in the economy and obstructs the next generation 's efforts to get a good education . Our research has identified low-quality education as the main poverty trap holding back upward mobility of children from poor families .",1,0,0.0430
"It seems to me that it would logically require much more parenting to raise a disabled child on the street   rather than a perfectly healthy one . And for that matter   would n't it cost his parents more in lifelong medical treatments than they could ever hope to earn begging for change ?",0,1,0.7984
"" Nothing can prepare you for the horrific reality of what is going on   " MOAS founder Christopher Catrambone said in a statement . " Today we came face to face with one of the youngest victims of this ongoing refugee crisis . It is a tragic reminder of the thousands of people who have died trying to reach safety in miserable conditions . "",0,1,0.8966
"It 's a typical tale of alcoholism   abuse   neglect and hopelessness -- with one major redeeming feature . Music . Recognising his aptitude   Larry Joe 's father encouraged him from an early age   and he shone in talent shows .",1,0,0.1921
"With a repatriation plan in tatters and funding evaporating for a million refugees with ever-growing needs   Rohingya Muslims who fled Myanmar to Bangladesh face a grim future one year after the latest eruption of a decades-old conflict .",0,1,0.6044
"The paper demonstrates why stakeholder consultations with a variety of informed actors from businesses   civil society   labour organisations   academia   and others including those who can provide a voice for the most vulnerable   matter . It describes the various mechanisms and processes that countries such as Korea   Japan   the US and others have introduced to ensure that stakeholders ' interests have helped create or balance the broader objectives of trade negotiators .",1,0,0.0171
"Whispers were here and there . There was talks of an advocacy group   government intervention but still no rescue . When the government was winning   she knew and suffered . She would be tortured and raped till she lost consciousness . The other girls in their camp looked like her ; dejected and hopeless .",0,1,0.9358
"" I never left home . Instead   I built two houses in Kolaroa and my houses are open for all . I provide shelter for the homeless and destitute in my house . "",0,1,0.7482
"Shebesh   who is city woman representative   was captured by a passerby kneeling on a street in Nairobi at the weekend   and talking to a disabled man .",1,0,0.0278
"" We 're actually going to purchase some swags with that money and those swags will be given out to people who are homeless   " she said .",0,1,0.6055
"Additionally   Bishop Kussala urged Catholics to pray for the country 's clergy   especially the dioceses still in need of bishops .",0,1,0.7701
"The camp holds more than 48 000 refugees . Rwanda 's government recently provided more land to double the space available for them . <h> Nobel winner Malala visits girls at camp of Burundi refugees",1,0,0.3958
"Meanwhile   Dr. Thomas told JIS News that the seminar was staged for all well- thinking Jamaicans with a passion for helping this vulnerable group .",0,1,0.9693
"The First Lady re-assured the women that President Kenyatta takes the welfare of women very seriously to ensure that vulnerable groups   widows   orphans and disabled persons are and will continue to be protected .",0,1,0.9651
"ATD wants to uplift the self-esteem of MNC residents   without making them feel hopeless or dependent .",0,1,0.9439
"Having started out part-time   she rose through the ranks to kitchen manager . " I never thought I 'd make it off those streets alive   " Tawnya said . " I went from being homeless to having my own apartment   a car and a job . I finally have self-worth. "",0,1,0.7652
"Aid agencies are warning that a whole generation of Syrian children is being mentally scarred by the conflict at home -- and by the difficulties of life as a refugee . As Henry Ridgwell reports   charities say treatment for traumatized children is vastly underfunded.",0,1,0.5807
"No drug can guarantee happiness   beyond momentary euphoria and relief   while addiction is a guarantee that life will only get more miserable and hopeless   along with the very real possibility that a premature death awaits .",0,1,0.5658
"A spokesman for Cygnet Hospital Woking   which runs the unit   said : ' We support some very vulnerable people   to whom we have a duty of care   a key part of which is respecting patients ' confidentiality . Therefore   it would not be appropriate for us to comment on an individual case .",1,0,0.0218
"Christmas is celebration of the birth of not merely a child   but a child who changed the destiny of humans forever . It is celebration of the fact that God wanted to be a part of the human race and so he took on flesh and blood and became human like us . We can also show unconditional love through our good deeds and helping those who are in need of our help and care . Be human and merciful .",0,1,0.9810
"They said in the past two days the homeless residents were braving rains and cold without shelter . They therefore urged the government and other stakeholders to come forward and offer moral and material support to the victims .",0,1,0.5284
"Round Table Mombasa 3 raised 1 Million Shillings towards their flagship charity project   the annual ? Week of Healing ?   where healthcare and surgeries are made available free of charge to those in need .",1,0,0.4014
"At least 12 000 refugees are living in squalid conditions in a makeshift camp near Idomeni   a village in northern Greece . They came hoping to be able to cross the nearby border to Macedonia and continue on to northern Europe . But that border is now closed   leaving the refugees here struggling with the uncertainty of what might come next . ( Ellen Mauro/CBC )",0,1,0.5916
"" Still it is hard for me to shop for clothes . I have to ask someone to bring me a dress by telling them the colour . So the disabled people have been compelled live in a way that other people want   " she complains .",0,1,0.9243
"He spoke on Sunday at Kilole Primary School during an education forum of 400 students who joined Form One through scholarship for Base Titanium mining company . Bright students from poor homes will benefit from the Sh17 million programme . sponsors bright students who scored 300 and above marks and comes from poor families .",0,1,0.7789
"Vanessa had feelings of hopelessness in her final days which increased when her cry for help yielded no response from the resident magistrate who placed her in the care of the State . Her letter was conveyed to this court official by an investigator from the Office of the Children 's Advocate .",1,0,0.1699
"Smyth told HKFP : " The biggest challenge is the no work policy . I think that refugees who come here   or asylum seekers   they 're unable to work and they have kids here -- their kids are stateless . That 's really the cause of a lot of stress in the community . "",1,0,0.0997
"" We are encouraging all investors seeking to start projects in Lamu to consider women and the disabled because at the end of the day   we are seeking to have an all-inclusive society   " said Mrs Obbo.",1,0,0.1203
"Many middle-class Indians can relate to the sentiment that drove Sonali Shetty   the Dehradun-based writer who recently filed a case against a Delhi restaurant for refusing to serve homeless children . Many of us are pricked by the contrast between our own easy spending and the widespread deprivation around us   but have no idea how to help .",0,1,0.9811
"Minister of Basic Education Angie Motshekga said equality was important especially to those pupils that came from poor families . " Children are very cruel people and we need to save them against themselves . Equality at schools is important especially for poor pupils as they will feel comfortable and have a sense of belonging . "",0,1,0.9834
"Many refugees do n't want to be resettled anywhere   let alone in the US .",1,0,0.0202
"Pope Francis took time out from his Sunday blessing to urge Central American governments to find a solution to help thousands of US-bound Cuban migrants stranded on the border between Costa Rica and Nicaragua ....",0,1,0.5794
"News this month that Anglican Care spent $4 million buying a Christchurch site as a hub for vulnerable youths is a fine example of that community-minded approach . In years to come there may be an interesting contrast between a beautifully restored cathedral that is empty much of the time and a youth hub and revamped City Mission that are constantly busy .",1,0,0.0344
"When Denhollander started there was no army of women   no " sister survivors   " as the judge kept calling them . There was just a scared young girl who grew into a strong mother of three for whom the pain never subsided . She faced off against the powerful institutions where Nassar worked : The U.S. Olympic Committee   the U.S. Gymnastics Team and Michigan State University .",0,1,0.6994
"But he said when the company sent him his refund   they 're going to give all of the money to a group in Columbus that helps the homeless . " We 're just going to donate it directly to that group and let them help other homeless people   because that 's what was intended to happen   " he said .",0,1,0.7368
"Sawang said   " All outreach initiatives   such as Vruddha Mitra   Mahila Mitra and Bala Mitra focus on protecting and changing the mindset of the weaker sections of society . I am happy to say that there is a perceptible change among police officers   who choose to respond more positively to any women   elderly or child   who is in need safety and security . "",0,1,0.7536
"She remembers how hard being homeless hit her . She remembers   too   how she would try and act as mad as possible to intimidate people and stop them from coming close to her . She would turn as she walked and make loud noises so that people would leave her alone . How did she manage not to lose sight of her future while she was struggling for survival ? " I handled my situation of being homeless pretty easily   " she says with a bit of distance . " I had football to focus on . I wanted to represent my country and I was n't going to let anything get in the way . "",1,0,0.2511
"The coming fury of angry America is as palpable as it is silent . What will that tiny part of a tiny part of the earth 's population do when the utter hopelessness of the situation washes over them and the tides of history curl around and bear them   inexorably   into the past ?",1,0,0.0281
"" The club is proud that it has been able to contribute financially to a wide range of local and national charities and individuals in need   " said Lion Ray Johnston .",0,1,0.7138
"" Those ( Rohingyas ) who somehow entered the country by skipping the border regulation   we have decided to give them shelter on a humanitarian grounds " he said   while adding that there are other refugees also receiving aid in Bangladesh .",1,0,0.1476
"Picture : Thinkstock <h> The City of Cape Town has been lauded by the national human settlements department for its efforts to improve the lives of its vulnerable residents   the city said on Sunday .",0,1,0.9213
